~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Running OptimTraj, iteration 1
  -> Transcription via trapezoid method, nGrid = 10

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   30    4749    1.130084e+00    1.613e-06    3.796e-03    7.748e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31    4902    1.129140e+00    3.186e-05    2.849e-03    3.872e+00
   32    5055    1.129538e+00    4.971e-06    2.544e-03    1.495e+00
   33    5208    1.129438e+00    3.258e-07    2.544e-03    1.554e-01
   34    5361    1.129182e+00    2.410e-06    2.469e-03    3.437e-01
   35    5514    1.128261e+00    3.216e-05    1.806e-03    1.494e+00
   36    5667    1.127580e+00    1.949e-05    1.722e-03    1.597e+00
   37    5820    1.127847e+00    2.679e-06    1.721e-03    7.948e-01
   38    5973    1.127732e+00    3.057e-06    1.722e-03    7.713e-01
   39    6126    1.127525e+00    1.537e-05    1.723e-03    1.908e+00
   40    6279    1.127235e+00    3.619e-05    1.623e-03    2.966e+00
   41    6432    1.127224e+00    6.888e-07    1.482e-03    4.577e-01
   42    6585    1.127190e+00    4.115e-08    1.427e-03    7.673e-02
   43    6738    1.127007e+00    1.067e-06    1.278e-03    3.655e-01
   44    6891    1.126360e+00    1.376e-05    7.007e-04    1.333e+00
   45    7044    1.125636e+00    1.956e-05    1.204e-03    1.682e+00
   46    7197    1.124996e+00    1.970e-05    2.192e-03    1.444e+00
   47    7350    1.125124e+00    1.449e-05    4.310e-04    1.294e+00
   48    7503    1.125165e+00    3.069e-07    4.311e-04    2.720e-01
   49    7656    1.125181e+00    8.172e-09    4.310e-04    1.840e-02
   50    7809    1.125165e+00    6.646e-09    4.311e-04    1.760e-02
   51    7962    1.125081e+00    1.821e-07    4.312e-04    8.885e-02
   52    8115    1.124689e+00    3.836e-06    4.347e-04    4.112e-01
   53    8268    1.123466e+00    3.346e-05    3.939e-04    1.305e+00
   54    8421    1.123314e+00    7.842e-06    4.019e-04    1.359e+00
   55    8574    1.123211e+00    1.958e-05    8.491e-04    2.223e+00
   56    8727    1.123425e+00    7.836e-06    9.026e-04    6.109e-01
   57    8880    1.123441e+00    5.573e-08    8.780e-04    1.049e-01
   58    9033    1.123419e+00    9.246e-09    8.659e-04    2.302e-02
   59    9186    1.123312e+00    2.612e-07    8.355e-04    9.325e-02
   60    9339    1.122846e+00    5.049e-06    6.930e-04    4.062e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   61    9492    1.121777e+00    3.003e-05    4.302e-04    9.882e-01
   62    9645    1.122044e+00    3.532e-06    6.336e-04    5.143e-01
   63    9798    1.122059e+00    2.073e-05    8.984e-04    1.800e+00
   64    9951    1.122041e+00    4.364e-08    7.643e-04    1.545e-01
   65   10104    1.122041e+00    2.673e-08    7.590e-04    6.982e-02
   66   10257    1.121995e+00    4.059e-08    7.515e-04    5.578e-02
   67   10410    1.121770e+00    8.469e-07    7.148e-04    2.277e-01
   68   10563    1.120898e+00    1.413e-05    5.491e-04    8.990e-01
   69   10716    1.119760e+00    2.401e-05    7.944e-04    1.479e+00
   70   10869    1.120473e+00    4.280e-05    9.072e-04    9.665e-01
   71   11022    1.120575e+00    1.550e-05    1.111e-03    1.122e+00
   72   11175    1.120585e+00    5.100e-07    1.132e-03    2.614e-01
   73   11328    1.120576e+00    5.540e-08    1.049e-03    8.352e-02
   74   11481    1.120500e+00    2.637e-07    1.041e-03    1.432e-01
   75   11634    1.120122e+00    6.120e-06    1.021e-03    6.844e-01
